"№ п/п","Прізвище, ім'я та по-батькові депутата","Результатголосування"
2,Бабич Петро Іванович,Утримався
4,Лемпіцький Валерій Анатолійович,Проти
6,Тоцька Тетяна Петрівна,Утримався
8,Темченко Людмила Григорівна,Проти
10,Скотніков Юрій Анатолійович,Утримався
12,Крилова Тетяна Миколаївна,Утримався
14,Бойко Сергій Олександрович,Не голосував
16,Здоровець Олексій Михайлович,Утримався
18,Коваленко Вікторія Миколаївна,Утримався
20,Гредунов Євгеній Валерійович,Утримався
22,"Черепейнік Леонід Володимирович",За
24,Опалько Володимир Григорович,За
26,Бельський Сергій Костянтинович,Проти
28,Тютюнник Андрій Анатолійович,Утримався
30,Дудко Борис Володимирович,Утримався
32,Дяченко Аліна Олексіївна,Відсутній
34,Берестовий Олег Ігорович,За
36,Саук Андрій Миколайович,За
"","",""


